고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익
46,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,OFF-BI-10002632,사무용품,바인더,"Acco Binding Machine, Recycled",141693.3,3,0.1,26759.7
47,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",37619.64,2,0.1,-875.16
48,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,TEC-CO-10000786,사무기기,복사기,"Canon Fax Machine, Color",293603.94,1,0.1,29342.34
67,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-ST-10000220,사무용품,수납용품,"Rogers Shelving, Industrial",191586.6,3,0,34425
68,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,FUR-FU-10004820,가구,가구류,"Advantus Photo Frame, Erganomic",368424,7,0,158293.8
69,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-FA-10000577,사무용품,파스너,"Stockwell Push Pins, 12 Pack",27356.4,2,0,13647.6
70,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-FA-10004813,사무용품,파스너,"Stockwell Rubber Bands, Bulk Pack",50581.8,3,0,12576.6
71,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-FA-10003218,사무용품,파스너,"Advantus Push Pins, Assorted Sizes",36352.8,3,0,14871.6
72,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-LA-10004114,사무용품,라벨,"Avery File Folder Labels, Alphabetical",54712.8,6,0,15789.6
74,IN-2012-21983,2013-08-13,2013-08-17,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,FUR-FU-10002525,가구,가구류,"Deflect-O Door Stop, Erganomic",130264.2,3,0,61138.8
92,IN-2012-42591,2013-11-26,2013-11-30,표준 배송,MA-17995,소유희,홈 오피스,중랑구,서울특별시,대한민국,수도권,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",40208.4,4,0.1,8384.4
96,ID-2012-74721,2013-05-05,2013-05-06,특급 배송,HG-14845,신지애,소비자,강남구,서울특별시,대한민국,수도권,TEC-MA-10004298,사무기기,전산기기,"Panasonic Calculator, Durable",42668.64,1,0.17,-8249.76
97,ID-2012-74721,2013-05-05,2013-05-06,특급 배송,HG-14845,신지애,소비자,강남구,서울특별시,대한민국,수도권,OFF-FA-10001010,사무용품,파스너,"Stockwell Clamps, Metal",83684.88,8,0.47,-33329.52
98,ID-2012-74721,2013-05-05,2013-05-06,특급 배송,HG-14845,신지애,소비자,강남구,서울특별시,대한민국,수도권,OFF-AP-10002017,사무용품,가전,"Cuisinart Blender, Red",56713.734,1,0.17,654.534
115,ID-2012-36011,2013-01-26,2013-01-27,특급 배송,HK-14890,강효정,기업 고객,김제시,전라북도,대한민국,호남,FUR-CH-10003950,가구,의자,"Novimex Executive Leather Armchair, Black",340989.57,1,0.27,-112135.23
124,IN-2012-56346,2013-11-23,2013-11-26,특급 배송,NW-18400,손민,소비자,강남구,서울특별시,대한민국,수도권,FUR-FU-10000921,가구,가구류,"Advantus Door Stop, Erganomic",222615,5,0,19890
125,IN-2012-16229,2013-12-13,2013-12-17,표준 배송,CK-12205,황윤설,소비자,동구,울산광역시,대한민국,영남,TEC-PH-10003954,사무기기,전화기,"Cisco Signal Booster, Cordless",283992.48,2,0.1,25238.88
137,IN-2012-32196,2013-01-31,2013-02-05,표준 배송,LS-17200,최승준,기업 고객,전주시,전라북도,대한민국,호남,FUR-CH-10004065,가구,의자,"SAFCO Bag Chairs, Adjustable",381373.92,8,0.1,25189.92
138,IN-2012-32196,2013-01-31,2013-02-05,표준 배송,LS-17200,최승준,기업 고객,전주시,전라북도,대한민국,호남,TEC-MA-10002680,사무기기,전산기기,"Konica Inkjet, White",855364.86,3,0.1,123535.26
198,IN-2012-52783,2013-11-08,2013-11-10,특급 배송,SP-20920,오희창,소비자,도봉구,서울특별시,대한민국,수도권,TEC-MA-10001267,사무기기,전산기기,"Epson Calculator, Red",88862.4,2,0,23072.4
205,IN-2012-55919,2013-11-03,2013-11-10,표준 배송,NC-18340,김정아,소비자,관악구,서울특별시,대한민국,수도권,OFF-LA-10004745,사무용품,라벨,"Harbour Creations Shipping Labels, Adjustable",28641.6,3,0,13953.6
240,IN-2012-31398,2013-12-03,2013-12-03,당일 배송,JD-16060,주정자,소비자,제주시,제주특별자치도,대한민국,호남,OFF-LA-10003644,사무용품,라벨,"Novimex Removable Labels, Adjustable",23776.2,3,0,4957.2
241,IN-2012-31398,2013-12-03,2013-12-03,당일 배송,JD-16060,주정자,소비자,제주시,제주특별자치도,대한민국,호남,OFF-LA-10004918,사무용품,라벨,"Harbour Creations Round Labels, Alphabetical",13402.8,2,0,1285.2
242,IN-2012-31398,2013-12-03,2013-12-03,당일 배송,JD-16060,주정자,소비자,제주시,제주특별자치도,대한민국,호남,FUR-CH-10003551,가구,의자,"Hon Swivel Stool, Black",657777.6,4,0,315669.6
244,IN-2012-37481,2013-05-03,2013-05-06,빠른 배송,RH-19495,최지호,소비자,금산군,충청남도,대한민국,충청,OFF-ST-10004365,사무용품,수납용품,"Fellowes Shelving, Wire Frame",240900.03,5,0.17,86982.03
264,ID-2012-29368,2013-11-06,2013-11-10,표준 배송,SV-20365,원철규,소비자,용인시,경기도,대한민국,수도권,OFF-SU-10000207,사무용품,일반 사무용품,"Kleencut Box Cutter, High Speed",123700.5,7,0.5,-64367.1
266,IN-2012-18098,2013-07-09,2013-07-14,표준 배송,CM-11830,문윤재,기업 고객,광명시,경기도,대한민국,수도권,OFF-AR-10004990,사무용품,필기구,"Boston Highlighters, Blue",51967.98,3,0.1,21306.78
269,IN-2012-43718,2013-02-26,2013-02-28,특급 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,수도권,OFF-SU-10003863,사무용품,일반 사무용품,"Kleencut Letter Opener, High Speed",80967.6,3,0,25887.6
270,ID-2012-60882,2013-02-02,2013-02-04,빠른 배송,GD-14590,심상재,기업 고객,보성군,전라남도,대한민국,호남,FUR-CH-10003950,가구,의자,"Novimex Executive Leather Armchair, Black",340989.57,1,0.27,-112135.23
271,ID-2012-60882,2013-02-02,2013-02-04,빠른 배송,GD-14590,심상재,기업 고객,보성군,전라남도,대한민국,호남,OFF-LA-10000950,사무용품,라벨,"Avery Color Coded Labels, 5000 Label Set",44372.448,6,0.47,-26864.352
272,ID-2012-60882,2013-02-02,2013-02-04,빠른 배송,GD-14590,심상재,기업 고객,보성군,전라남도,대한민국,호남,OFF-AR-10003554,사무용품,필기구,"Stanley Canvas, Blue",106973.928,4,0.47,-48474.072
287,IN-2012-23530,2013-11-10,2013-11-12,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,TEC-PH-10004261,사무기기,전화기,"Nokia Signal Booster, Full Size",281091.6,2,0,78703.2
288,IN-2012-23530,2013-11-10,2013-11-12,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,OFF-PA-10000579,사무용품,종이,"Xerox Computer Printout Paper, Recycled",187425,7,0,65545.2
289,IN-2012-23530,2013-11-10,2013-11-12,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,FUR-CH-10004694,가구,의자,"Office Star Rocking Chair, Black",988747.2,7,0,355786.2
290,IN-2012-24055,2013-10-27,2013-11-01,표준 배송,TB-21520,차호성,소비자,진도군,전라남도,대한민국,호남,OFF-AP-10003598,사무용품,가전,"Breville Refrigerator, Red",879329.556,2,0.17,116532.756
292,IN-2012-10419,2013-05-07,2013-05-13,표준 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,TEC-AC-10003895,사무기기,악세사리,"Enermax Mouse, Bluetooth",164383.2,4,0,72216
293,IN-2012-10419,2013-05-07,2013-05-13,표준 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,TEC-MA-10000317,사무기기,전산기기,"StarTech Receipt Printer, Red",329653.8,3,0,6517.8
294,IN-2012-10419,2013-05-07,2013-05-13,표준 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,OFF-BI-10003475,사무용품,바인더,"Wilson Jones Index Tab, Recycled",41677.2,6,0,19094.4
295,IN-2012-10419,2013-05-07,2013-05-13,표준 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,수도권,TEC-PH-10003927,사무기기,전화기,"Nokia Audio Dock, with Caller ID",170074.8,1,0,64627.2
319,ID-2012-61876,2013-02-09,2013-02-15,표준 배송,DR-12940,나혜원,홈 오피스,중구,서울특별시,대한민국,수도권,FUR-TA-10004050,가구,탁자,"Lesro Coffee Table, Fully Assembled",206831.52,4,0.8,-310308.48
320,ID-2012-61876,2013-02-09,2013-02-15,표준 배송,DR-12940,나혜원,홈 오피스,중구,서울특별시,대한민국,수도권,OFF-ST-10003306,사무용품,수납용품,"Eldon File Cart, Single Width",261874.8,4,0.5,-209610
321,ID-2012-61876,2013-02-09,2013-02-15,표준 배송,DR-12940,나혜원,홈 오피스,중구,서울특별시,대한민국,수도권,TEC-MA-10000684,사무기기,전산기기,"Okidata Calculator, White",25857,1,0.5,-21205.8
322,ID-2012-61876,2013-02-09,2013-02-15,표준 배송,DR-12940,나혜원,홈 오피스,중구,서울특별시,대한민국,수도권,OFF-BI-10002632,사무용품,바인더,"Acco Binding Machine, Recycled",26239.5,1,0.5,-12071.7
331,IN-2012-47533,2013-05-27,2013-06-02,표준 배송,BD-11770,류설주,소비자,예산군,충청남도,대한민국,충청,OFF-SU-10001709,사무용품,일반 사무용품,"Kleencut Scissors, High Speed",45471.6,2,0,19522.8
332,IN-2012-19330,2013-01-08,2013-01-12,빠른 배송,NF-18595,조동관,홈 오피스,용인시,경기도,대한민국,수도권,TEC-MA-10002468,사무기기,전산기기,"Panasonic Inkjet, White",2216970,7,0,266036.4
335,ID-2012-45804,2013-11-24,2013-11-29,표준 배송,PG-18820,반미애,소비자,공주시,충청남도,대한민국,충청,OFF-SU-10003221,사무용품,일반 사무용품,"Acme Trimmer, Easy Grip",99902.88,4,0.47,-77332.32
336,ID-2012-45804,2013-11-24,2013-11-29,표준 배송,PG-18820,반미애,소비자,공주시,충청남도,대한민국,충청,FUR-CH-10001138,가구,의자,"Office Star Swivel Stool, Black",255412.692,2,0.27,48923.892
351,ID-2012-50802,2013-04-10,2013-04-10,당일 배송,CM-12715,성수인,기업 고객,함평군,전라남도,대한민국,호남,OFF-ST-10000622,사무용품,수납용품,"Rogers File Cart, Single Width",72460.8,1,0.5,-60894
352,ID-2012-50802,2013-04-10,2013-04-10,당일 배송,CM-12715,성수인,기업 고객,함평군,전라남도,대한민국,호남,OFF-EN-10000539,사무용품,봉투,"Ames Clasp Envelope, with clear poly window",16432.2,3,0.5,-15789.6
353,ID-2012-50802,2013-04-10,2013-04-10,당일 배송,CM-12715,성수인,기업 고객,함평군,전라남도,대한민국,호남,OFF-EN-10001162,사무용품,봉투,"GlobeWeis Mailers, Set of 50",58981.5,3,0.5,-8307.9
370,IN-2012-72614,2013-06-21,2013-06-23,빠른 배송,PJ-18835,나혜령,기업 고객,안양시,경기도,대한민국,수도권,OFF-AR-10001952,사무용품,필기구,"BIC Canvas, Easy-Erase",165148.2,3,0,44523
371,IN-2012-72614,2013-06-21,2013-06-23,빠른 배송,PJ-18835,나혜령,기업 고객,안양시,경기도,대한민국,수도권,FUR-CH-10001477,가구,의자,"Novimex Chairmat, Black",384917.4,7,0,165362.4
372,IN-2012-37012,2013-09-24,2013-09-24,당일 배송,FM-14290,유경호,홈 오피스,장흥군,전라남도,대한민국,호남,TEC-MA-10003624,사무기기,전산기기,"StarTech Inkjet, Wireless",554049.72,2,0.1,221611.32
379,IN-2012-19351,2013-06-18,2013-06-20,특급 배송,BW-11110,노희도,기업 고객,공주시,충청남도,대한민국,충청,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",44676,4,0,12852
380,IN-2012-19351,2013-06-18,2013-06-20,특급 배송,BW-11110,노희도,기업 고객,공주시,충청남도,대한민국,충청,FUR-TA-10001889,가구,탁자,"Bevis Conference Table, Fully Assembled",3303071.1,5,0.3,-755100.9
381,IN-2012-79950,2013-11-01,2013-11-03,빠른 배송,DJ-13630,심소연,소비자,경주시,경상북도,대한민국,영남,OFF-BI-10003397,사무용품,바인더,"Acco Hole Reinforcements, Clear",12484.8,2,0,5202
397,IN-2012-62982,2013-03-31,2013-04-02,빠른 배송,VG-21790,백유린,소비자,음성군,충청북도,대한민국,충청,TEC-AC-10001835,사무기기,악세사리,"Belkin Mouse, Programmable",129162.6,3,0,17992.8
408,IN-2012-67840,2013-08-03,2013-08-08,표준 배송,VG-21805,양재연,기업 고객,양천구,서울특별시,대한민국,수도권,OFF-SU-10000866,사무용품,일반 사무용품,"Elite Trimmer, Serrated",117412.2,3,0,14045.4
409,IN-2012-67840,2013-08-03,2013-08-08,표준 배송,VG-21805,양재연,기업 고객,양천구,서울특별시,대한민국,수도권,FUR-CH-10000660,가구,의자,"Novimex Executive Leather Armchair, Adjustable",929260.8,2,0,288068.4
435,IN-2012-57956,2013-10-20,2013-10-23,빠른 배송,SS-20515,나한빛,홈 오피스,여수시,전라남도,대한민국,호남,OFF-BI-10003025,사무용품,바인더,"Cardinal Binding Machine, Durable",104590.8,2,0,18788.4
436,IN-2012-22585,2013-08-21,2013-08-24,빠른 배송,VP-21730,우시정,홈 오피스,하남시,경기도,대한민국,수도권,OFF-ST-10004583,사무용품,수납용품,"Eldon Shelving, Single Width",148257,3,0,7344
449,IN-2012-26456,2013-02-21,2013-02-28,표준 배송,EA-14035,노혜미,기업 고객,양산시,경상남도,대한민국,영남,OFF-EN-10003508,사무용품,봉투,"GlobeWeis Peel and Seal, with clear poly window",152571.6,6,0,71604
450,IN-2012-26456,2013-02-21,2013-02-28,표준 배송,EA-14035,노혜미,기업 고객,양산시,경상남도,대한민국,영남,TEC-CO-10004689,사무기기,복사기,"Canon Ink, Color",303123.6,2,0,57589.2
466,IN-2012-24727,2013-04-19,2013-04-23,표준 배송,NF-18475,남경화,홈 오피스,무안군,전라남도,대한민국,호남,OFF-PA-10004756,사무용품,종이,"SanDisk Cards & Envelopes, Multicolor",355786.2,7,0,24847.2
467,IN-2012-24727,2013-04-19,2013-04-23,표준 배송,NF-18475,남경화,홈 오피스,무안군,전라남도,대한민국,호남,OFF-ST-10000220,사무용품,수납용품,"Rogers Shelving, Industrial",127724.4,2,0,22950
468,IN-2012-24727,2013-04-19,2013-04-23,표준 배송,NF-18475,남경화,홈 오피스,무안군,전라남도,대한민국,호남,OFF-PA-10003139,사무용품,종이,"SanDisk Parchment Paper, Recycled",33904.8,2,0,12484.8
469,IN-2012-24727,2013-04-19,2013-04-23,표준 배송,NF-18475,남경화,홈 오피스,무안군,전라남도,대한민국,호남,OFF-BI-10002287,사무용품,바인더,"Acco Index Tab, Clear",8200.8,1,0,2937.6
471,IN-2012-52587,2013-08-05,2013-08-11,표준 배송,RB-19435,권명섭,소비자,안산시,경기도,대한민국,수도권,OFF-LA-10003141,사무용품,라벨,"Hon Shipping Labels, Laser Printer Compatible",25514.28,4,0.45,2258.28
488,IN-2012-19323,2013-08-24,2013-08-28,표준 배송,SN-20560,이서준,홈 오피스,영등포구,서울특별시,대한민국,수도권,OFF-EN-10004144,사무용품,봉투,"Cameo Clasp Envelope, Security-Tint",48592.8,4,0,17380.8
502,IN-2012-10426,2013-07-07,2013-07-08,특급 배송,MT-18070,전정한,홈 오피스,중구,인천광역시,대한민국,수도권,OFF-ST-10004331,사무용품,수납용품,"Eldon Folders, Single Width",34700.4,2,0,3427.2
504,ID-2012-23068,2013-10-20,2013-10-23,특급 배송,EB-13870,임영수,소비자,성북구,서울특별시,대한민국,수도권,OFF-BI-10000389,사무용품,바인더,"Ibico Binding Machine, Clear",387675.072,9,0.17,-79403.328
521,IN-2012-24069,2013-12-15,2013-12-17,빠른 배송,DB-13120,차수아,기업 고객,시흥시,경기도,대한민국,수도권,OFF-LA-10000879,사무용품,라벨,"Hon File Folder Labels, Alphabetical",15532.56,3,0.4,1487.16
522,IN-2012-24069,2013-12-15,2013-12-17,빠른 배송,DB-13120,차수아,기업 고객,시흥시,경기도,대한민국,수도권,OFF-SU-10000866,사무용품,일반 사무용품,"Elite Trimmer, Serrated",46964.88,2,0.4,-21946.32
536,IN-2012-45496,2013-07-18,2013-07-23,표준 배송,KB-16585,최영롱,기업 고객,종로구,서울특별시,대한민국,수도권,TEC-AC-10002702,사무기기,악세사리,"Enermax Keyboard, Bluetooth",170258.4,2,0,5079.6
546,ID-2012-63017,2013-01-21,2013-01-25,표준 배송,PW-19030,민형석,기업 고객,고창군,전라북도,대한민국,호남,OFF-AR-10003110,사무용품,필기구,"Sanford Sketch Pad, Water Color",52611.192,2,0.47,-24868.008
565,ID-2012-52839,2013-12-24,2013-12-29,표준 배송,BT-11440,고아담,소비자,광주시,경기도,대한민국,수도권,OFF-AR-10001850,사무용품,필기구,"BIC Highlighters, Fluorescent",34185.708,2,0.17,-1677.492
566,IN-2012-64326,2013-06-08,2013-06-12,빠른 배송,DR-12940,나혜원,홈 오피스,중구,서울특별시,대한민국,수도권,OFF-PA-10003511,사무용품,종이,"Green Bar Memo Slips, 8.5 x 11",38721.24,2,0.1,17178.84
567,IN-2012-64326,2013-06-08,2013-06-12,빠른 배송,DR-12940,나혜원,홈 오피스,중구,서울특별시,대한민국,수도권,OFF-AP-10003917,사무용품,가전,"KitchenAid Stove, Silver",4716775.8,9,0.1,1676910.6
574,IN-2012-26176,2013-08-17,2013-08-21,표준 배송,KB-16600,안보규,기업 고객,성북구,서울특별시,대한민국,수도권,FUR-FU-10001770,가구,가구류,"Deflect-O Clock, Erganomic",99817.2,2,0,49878
575,IN-2012-26176,2013-08-17,2013-08-21,표준 배송,KB-16600,안보규,기업 고객,성북구,서울특별시,대한민국,수도권,FUR-BO-10001934,가구,책장,"Bush Library with Doors, Metal",3339500.4,9,0,267138
576,IN-2012-26176,2013-08-17,2013-08-21,표준 배송,KB-16600,안보규,기업 고객,성북구,서울특별시,대한민국,수도권,FUR-CH-10002966,가구,의자,"Harbour Creations Swivel Stool, Red",183722.4,1,0,5508
582,IN-2012-54169,2013-09-25,2013-09-28,빠른 배송,MG-17875,김주경,홈 오피스,영암군,전라남도,대한민국,호남,FUR-BO-10002000,가구,책장,"Ikea Classic Bookcase, Metal",2264944.68,6,0.1,125821.08
583,IN-2012-51117,2013-12-16,2013-12-21,표준 배송,DM-13525,최현,기업 고객,용산구,서울특별시,대한민국,수도권,FUR-CH-10000294,가구,의자,"Office Star Swivel Stool, Red",887094,5,0,195075
585,ID-2012-53525,2013-07-30,2013-08-02,특급 배송,VM-21685,노우석,홈 오피스,구로구,서울특별시,대한민국,수도권,TEC-AC-10000896,사무기기,악세사리,"Belkin Numeric Keypad, Erganomic",64061.1,2,0.47,-36306.9
594,IN-2012-70017,2013-10-29,2013-11-04,표준 배송,LH-16900,김차연,소비자,전주시,전라북도,대한민국,호남,OFF-ST-10004768,사무용품,수납용품,"Eldon Lockers, Industrial",404715.6,2,0,169952.4
595,IN-2012-70017,2013-10-29,2013-11-04,표준 배송,LH-16900,김차연,소비자,전주시,전라북도,대한민국,호남,OFF-ST-10001694,사무용품,수납용품,"Smead Folders, Blue",35679.6,2,0,11383.2
609,IN-2012-33253,2013-09-08,2013-09-10,특급 배송,PB-19210,이수혜,기업 고객,연제구,부산광역시,대한민국,영남,OFF-BI-10004589,사무용품,바인더,"Avery Binding Machine, Economy",134505.36,3,0.1,5893.56
610,IN-2012-33253,2013-09-08,2013-09-10,특급 배송,PB-19210,이수혜,기업 고객,연제구,부산광역시,대한민국,영남,OFF-AR-10000780,사무용품,필기구,"BIC Highlighters, Easy-Erase",35251.2,2,0.1,10159.2
611,IN-2012-33253,2013-09-08,2013-09-10,특급 배송,PB-19210,이수혜,기업 고객,연제구,부산광역시,대한민국,영남,OFF-FA-10002539,사무용품,파스너,"Stockwell Rubber Bands, Metal",29853.36,2,0.1,1272.96
648,IN-2012-76961,2013-06-18,2013-06-24,표준 배송,RE-19450,배세훈,소비자,구리시,경기도,대한민국,수도권,TEC-PH-10001725,사무기기,전화기,"Motorola Speaker Phone, Cordless",270565.2,2,0,13525.2
649,IN-2012-76961,2013-06-18,2013-06-24,표준 배송,RE-19450,배세훈,소비자,구리시,경기도,대한민국,수도권,OFF-BI-10000106,사무용품,바인더,"Cardinal Hole Reinforcements, Clear",19584,4,0,6609.6
662,IN-2012-49234,2013-09-03,2013-09-08,표준 배송,BM-11575,손주린,기업 고객,안산시,경기도,대한민국,수도권,TEC-AC-10001352,사무기기,악세사리,"SanDisk Numeric Keypad, Bluetooth",225828,4,0,24724.8
663,IN-2012-49234,2013-09-03,2013-09-08,표준 배송,BM-11575,손주린,기업 고객,안산시,경기도,대한민국,수도권,TEC-AC-10003861,사무기기,악세사리,"Enermax Keyboard, Erganomic",248686.2,3,0,27264.6
664,IN-2012-49234,2013-09-03,2013-09-08,표준 배송,BM-11575,손주린,기업 고객,안산시,경기도,대한민국,수도권,FUR-TA-10001089,가구,탁자,"Hon Computer Table, with Bottom Storage",2118138.12,6,0.3,60349.32
668,ID-2012-13170,2013-12-16,2013-12-21,표준 배송,AG-10525,조성길,기업 고객,강북구,서울특별시,대한민국,수도권,TEC-MA-10004822,사무기기,전산기기,"Epson Calculator, Durable",47460.6,2,0.5,-27570.6
674,ID-2012-36333,2013-10-14,2013-10-20,표준 배송,SV-20365,원철규,소비자,용인시,경기도,대한민국,수도권,OFF-BI-10000389,사무용품,바인더,"Ibico Binding Machine, Clear",326954.88,7,0.1,-36328.32
676,IN-2012-40155,2013-11-15,2013-11-21,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,OFF-FA-10000974,사무용품,파스너,"Stockwell Paper Clips, Bulk Pack",85741.2,6,0,34149.6
677,IN-2012-40155,2013-11-15,2013-11-21,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,TEC-AC-10000860,사무기기,악세사리,"Enermax Numeric Keypad, USB",168728.4,3,0,20196
678,IN-2012-40155,2013-11-15,2013-11-21,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,FUR-BO-10004852,가구,책장,"Sauder Classic Bookcase, Traditional",1334129.4,3,0,493608.6
679,IN-2012-40155,2013-11-15,2013-11-21,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,OFF-ST-10001214,사무용품,수납용품,"Smead Box, Industrial",34425,3,0,16799.4
680,IN-2012-40155,2013-11-15,2013-11-21,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,TEC-PH-10000499,사무기기,전화기,"Motorola Smart Phone, Full Size",4588806.6,7,0,688224.6
681,IN-2012-40155,2013-11-15,2013-11-21,표준 배송,CL-12700,한우빈,홈 오피스,수원시,경기도,대한민국,수도권,TEC-AC-10003408,사무기기,악세사리,"Enermax Keyboard, Programmable",86659.2,1,0,25979.4
701,IN-2012-72215,2013-05-04,2013-05-09,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,OFF-EN-10001975,사무용품,봉투,"Kraft Business Envelopes, Security-Tint",50306.4,3,0,6517.8
702,IN-2012-72215,2013-05-04,2013-05-09,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,OFF-AR-10000097,사무용품,필기구,"BIC Sketch Pad, Blue",148899.6,3,0,4406.4
703,IN-2012-72215,2013-05-04,2013-05-09,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,FUR-BO-10002308,가구,책장,"Safco Floating Shelf Set, Metal",600372,3,0,120074.4
704,IN-2012-72215,2013-05-04,2013-05-09,표준 배송,JR-15670,성미령,소비자,순천시,전라남도,대한민국,호남,OFF-ST-10004315,사무용품,수납용품,"Rogers Lockers, Blue",431704.8,2,0,21542.4
707,IN-2012-76394,2013-10-14,2013-10-17,빠른 배송,JM-16195,백현민,소비자,연천군,경기도,대한민국,수도권,OFF-LA-10003215,사무용품,라벨,"Smead File Folder Labels, Laser Printer Compatible",16303.68,2,0.1,2166.48
