고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인,이익
167,IN-2015-66853,2016-05-19,2016-05-24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,서울경기,FUR-BO-10002819,가구,책장,"Ikea Stackable Bookrack, Traditional",225056.88,2,0.1,47454.48
168,IN-2015-66853,2016-05-19,2016-05-24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,서울경기,OFF-SU-10004306,사무용품,일반 사무용품,"Kleencut Trimmer, Steel",187409.7,5,0.1,-12561.3
169,ID-2015-74462,2016-12-23,2016-12-25,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,호남,TEC-AC-10000857,사무기기,악세사리,"Belkin Router, Programmable",438000.75,3,0.45,-175223.25
170,ID-2015-74462,2016-12-23,2016-12-25,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,호남,OFF-AR-10000681,사무용품,필기구,"Binney & Smith Sketch Pad, Water Color",27769.5,1,0.45,-15651.9
171,ID-2015-13940,2016-10-07,2016-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,서울경기,FUR-CH-10003354,가구,의자,"Novimex Bag Chairs, Black",199802.7,5,0.1,-20058.3
172,ID-2015-13940,2016-10-07,2016-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,서울경기,OFF-ST-10000542,사무용품,수납용품,"Fellowes Folders, Industrial",49351.68,2,0.1,2717.28
173,ID-2015-13940,2016-10-07,2016-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,서울경기,FUR-BO-10002682,가구,책장,"Safco Stackable Bookrack, Mobile",410290.92,3,0.1,9033.12
174,ID-2015-13940,2016-10-07,2016-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,서울경기,OFF-BI-10002243,사무용품,바인더,"Wilson Jones 3-Hole Punch, Durable",54143.64,2,0.1,19810.44
175,ID-2015-13940,2016-10-07,2016-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,서울경기,FUR-FU-10002659,가구,가구류,"Eldon Clock, Black",466968.24,9,0.1,124370.64
176,IN-2015-25063,2016-06-16,2016-06-21,표준 배송,MD-17860,황상철,기업 고객,과천시,경기도,대한민국,서울경기,TEC-CO-10003354,사무기기,복사기,"Brother Fax Machine, Laser",2339357.76,8,0.1,519759.36
191,IN-2015-64235,2016-06-21,2016-06-27,표준 배송,FM-14290,유경호,홈 오피스,장흥군,전라남도,대한민국,호남,OFF-SU-10004236,사무용품,일반 사무용품,"Stiletto Letter Opener, Steel",138140.64,6,0.1,35141.04
199,IN-2015-76450,2016-11-17,2016-11-21,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,호남,OFF-BI-10004666,사무용품,바인더,"Wilson Jones Binding Machine, Durable",128158.308,3,0.17,43151.508
200,IN-2015-76450,2016-11-17,2016-11-21,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,호남,OFF-ST-10003203,사무용품,수납용품,"Eldon Lockers, Wire Frame",500289.804,3,0.17,156682.404
201,IN-2015-20226,2016-06-14,2016-06-16,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,영남,OFF-BI-10001312,사무용품,바인더,"Cardinal 3-Hole Punch, Clear",86475.6,3,0,36261
202,IN-2015-20226,2016-06-14,2016-06-16,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,영남,OFF-LA-10002364,사무용품,라벨,"Smead Shipping Labels, Alphabetical",163220.4,14,0,47124
206,IN-2015-74224,2016-06-04,2016-06-10,표준 배송,CM-12115,문유린,소비자,영등포구,서울특별시,대한민국,서울경기,OFF-SU-10001535,사무용품,일반 사무용품,"Elite Box Cutter, High Speed",213526.8,6,0,34149.6
208,IN-2015-20702,2016-12-08,2016-12-13,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,서울경기,OFF-ST-10003547,사무용품,수납용품,"Smead Shelving, Blue",165696.552,4,0.17,53822.952
209,IN-2015-20702,2016-12-08,2016-12-13,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,서울경기,FUR-FU-10001130,가구,가구류,"Rubbermaid Stacking Tray, Erganomic",82538.91,5,0.27,-81.09
210,IN-2015-53252,2016-05-29,2016-06-03,표준 배송,GH-14665,노수정,소비자,인제군,강원도,대한민국,강원,TEC-AC-10000221,사무기기,악세사리,"Belkin Memory Card, Programmable",593181,5,0,124542
212,IN-2015-59363,2016-10-09,2016-10-11,빠른 배송,TB-21595,백인수,소비자,안산시,경기도,대한민국,서울경기,FUR-BO-10001753,가구,책장,"Dania Stackable Bookrack, Traditional",308677.5,5,0.5,-37102.5
223,ID-2015-53679,2016-10-29,2016-11-05,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,서울경기,OFF-BI-10003012,사무용품,바인더,"Wilson Jones Hole Reinforcements, Economy",5544.72,2,0.4,220.32
224,ID-2015-53679,2016-10-29,2016-11-05,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,서울경기,TEC-PH-10004618,사무기기,전화기,"Motorola Speaker Phone, VoIP",715323.96,9,0.4,-262346.04
225,ID-2015-65173,2016-11-27,2016-12-02,표준 배송,CS-12355,홍진영,소비자,인제군,강원도,대한민국,강원,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",11839.14,2,0.47,-4072.86
226,IN-2015-39735,2016-03-17,2016-03-22,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,영남,OFF-AP-10000043,사무용품,가전,"Cuisinart Toaster, Silver",199059.12,4,0.1,66255.12
227,IN-2015-39735,2016-03-17,2016-03-22,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,영남,TEC-CO-10003777,사무기기,복사기,"Hewlett Copy Machine, Color",3365553.24,14,0.1,373607.64
228,IN-2015-39735,2016-03-17,2016-03-22,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,영남,OFF-BI-10000373,사무용품,바인더,"Ibico Hole Reinforcements, Economy",38500.92,6,0.1,679.32
229,ID-2015-61169,2016-12-12,2016-12-16,표준 배송,EB-13930,고영아,소비자,동구,인천광역시,대한민국,서울경기,OFF-EN-10002700,사무용품,봉투,"Kraft Interoffice Envelope, with clear poly window",81836.028,3,0.47,-18593.172
231,IN-2015-66965,2016-04-16,2016-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,강원,OFF-SU-10003897,사무용품,일반 사무용품,"Stiletto Ruler, High Speed",95618.88,7,0.1,14865.48
232,IN-2015-66965,2016-04-16,2016-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,강원,TEC-MA-10001261,사무기기,전산기기,"Konica Printer, Wireless",1721139.84,7,0.1,688267.44
233,IN-2015-66965,2016-04-16,2016-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,강원,OFF-AP-10001503,사무용품,가전,"KitchenAid Microwave, Black",1421752.5,5,0.1,584383.5
234,IN-2015-66965,2016-04-16,2016-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,강원,TEC-CO-10002674,사무기기,복사기,"Sharp Fax and Copier, High-Speed",765612,5,0.1,-34119
235,IN-2015-79698,2016-09-02,2016-09-06,표준 배송,EH-13945,임문도,소비자,창녕군,경상남도,대한민국,영남,TEC-AC-10003407,사무기기,악세사리,"Memorex Mouse, Erganomic",158997.6,6,0,22215.6
236,IN-2015-56241,2016-11-11,2016-11-15,표준 배송,HZ-14950,송보민,소비자,영월군,강원도,대한민국,강원,TEC-PH-10001921,사무기기,전화기,"Nokia Signal Booster, with Caller ID",139230,1,0,15300
237,IN-2015-78438,2016-08-25,2016-08-25,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,서울경기,OFF-EN-10003540,사무용품,봉투,"Cameo Mailers, Set of 50",64612.512,2,0.17,17121.312
238,IN-2015-78438,2016-08-25,2016-08-25,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,서울경기,OFF-AR-10002109,사무용품,필기구,"Binney & Smith Sketch Pad, Fluorescent",80562.456,2,0.17,10672.056
239,IN-2015-78438,2016-08-25,2016-08-25,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,서울경기,TEC-PH-10003075,사무기기,전화기,"Samsung Signal Booster, Full Size",466916.832,4,0.17,-84495.168
263,IN-2015-57837,2016-09-19,2016-09-21,빠른 배송,CS-12130,허상재,소비자,신안군,전라남도,대한민국,호남,FUR-BO-10001212,가구,책장,"Safco Classic Bookcase, Mobile",1618140.24,4,0.1,17882.64
273,IN-2015-10475,2016-07-11,2016-07-14,빠른 배송,TH-21100,전병만,소비자,광산구,광주광역시,대한민국,호남,OFF-LA-10000707,사무용품,라벨,"Avery Removable Labels, Adjustable",44064,5,0,1224
274,IN-2015-36795,2016-12-27,2016-12-29,특급 배송,CV-12805,유희라,기업 고객,포천시,경기도,대한민국,서울경기,OFF-PA-10000776,사무용품,종이,"Xerox Cards & Envelopes, Premium",183477.6,4,0,86169.6
277,ID-2015-13135,2016-06-19,2016-06-25,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,OFF-LA-10001548,사무용품,라벨,"Avery Shipping Labels, Adjustable",21083.4,4,0.47,-9149.4
278,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,OFF-SU-10004008,사무용품,일반 사무용품,"Kleencut Letter Opener, Steel",72705.6,3,0,36352.8
279,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",856953,5,0,102816
280,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",605604.6,3,0,12025.8
281,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",171390.6,1,0,20563.2
282,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,TEC-MA-10004421,사무기기,전산기기,"Konica Inkjet, Wireless",2238818.4,7,0,1052150.4
283,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",104499,5,0,8262
284,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,FUR-BO-10002736,가구,책장,"Sauder Stackable Bookrack, Mobile",1198051.2,8,0,191678.4
285,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,TEC-CO-10000794,사무기기,복사기,"Hewlett Wireless Fax, High-Speed",385957.8,1,0,154377
286,IN-2015-45174,2016-11-14,2016-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,서울경기,OFF-LA-10004756,사무용품,라벨,"Avery Removable Labels, Laser Printer Compatible",32864.4,3,0,13402.8
291,IN-2015-21990,2016-12-04,2016-12-06,특급 배송,SM-20320,정하은,홈 오피스,보령시,충청남도,대한민국,충청,FUR-CH-10004580,가구,의자,"Office Star Bag Chairs, Adjustable",59088.6,1,0,18298.8
296,ID-2015-58418,2016-12-31,2017-01-02,특급 배송,JA-15970,차경철,소비자,금정구,부산광역시,대한민국,영남,OFF-AR-10002389,사무용품,필기구,"Binney & Smith Pens, Fluorescent",40392,3,0,6793.2
299,IN-2015-23383,2016-06-24,2016-06-26,빠른 배송,EM-14065,한민,소비자,속초시,강원도,대한민국,강원,OFF-EN-10001976,사무용품,봉투,"Jiffy Interoffice Envelope, Security-Tint",149450.4,3,0,41769
315,IN-2015-61932,2016-04-17,2016-04-17,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,충청,OFF-ST-10000351,사무용품,수납용품,"Smead Shelving, Wire Frame",195840,4,0,1958.4
316,IN-2015-61932,2016-04-17,2016-04-17,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,충청,TEC-PH-10001457,사무기기,전화기,"Apple Smart Phone, Full Size",1300500,2,0,143024.4
317,IN-2015-61932,2016-04-17,2016-04-17,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,충청,FUR-FU-10004820,가구,가구류,"Advantus Photo Frame, Erganomic",105264,2,0,45226.8
318,IN-2015-78725,2016-10-02,2016-10-06,표준 배송,NF-18385,강진원,소비자,세종특별자치시,세종특별자치시,대한민국,충청,TEC-PH-10001670,사무기기,전화기,"Motorola Smart Phone, Full Size",2627438.4,4,0,998416.8
326,IN-2015-54211,2016-01-17,2016-01-21,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,서울경기,OFF-BI-10004869,사무용품,바인더,"Avery 3-Hole Punch, Recycled",95598.072,4,0.17,35622.072
327,IN-2015-54211,2016-01-17,2016-01-21,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,서울경기,OFF-AR-10000762,사무용품,필기구,"BIC Pens, Water Color",52002.864,4,0.27,-1485.936
